LAU_NAME,total_population,popul_bg,popul_turkish,popul_roma,popul_other,percentage_bg,percentage_turkish,percentage_roma,percentage_other,total_minorities,percentage_minorities,total_crime,crime_per_1000,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_children_total,total_schools,schools_1000_children,total_teachers,teachers_1000_children,total_kindergartens,kindergartens_1000,children_kindergarten,children_kg_rate,pop_0_6,pop_7_10,pop_11_13,pop_14_19,pop_school_age,total_students,total_school_enrolment,1_4_grade,1_4_grade_enrolment,5_7_grade,5_7_grade_enrolment,8_12_grade,8_12_grade_enrolment,pop_15,pop_19,12_grade_graduates,12_grade_graduates_rate,8_grade_graduates,8_grade_graduate_rate,hospitals,hospitals_1000,hospital_beds,hospital_beds_1000,employment_rate,unemployment_rate,tertiary_educ_rate,secondary_educ_rate,middle_educ_rate,primary_educ_rate,illiteracy_rate,NUTS_NAME,average_salary,deprivation_rate,avg_household_size,pop_over_65,number_doctors,doctors_1000,rate_city_pop,rate_village_pop,rate_lang_roma,rate_lang_non_bg
Камено,9545,7453,349,515,170,78.08276585,3.656364589,5.395495024,1.781037192,1034,10.8328968,34,3.520167627,414,458,525,473,1870,4,3.110419907,65,50.54432348,5,8.989726027,260,44.52054795,584,369,340,577,1286,572,44.47900467,250,67.75067751,200,58.82352941,122,21.14384749,110,73,11,15.06849315,82,112.3287671,0,0,0,0,65.9,15.9,9.273518581,46.80281219,27.50809061,16.41557862,4.093967385,Бургас,15859,22.4,2.3,2563,5,0.5238344683,38.18456028,61.81543972,5.353588266,11.14719749
Карнобат,20840,15866,1822,1235,353,76.13243762,8.742802303,5.926103647,1.693857965,3410,16.36276392,63,3.032629559,979,1046,1196,1016,4237,7,2.470007057,214,75.51164432,7,4.989308624,669,47.68353528,1403,865,715,1254,2834,2528,89.20254058,779,90.05780347,703,98.32167832,1046,83.41307815,238,167,141,84.43113772,232,138.9221557,1,0.04798464491,70,3.358925144,64.3,13.5,15.47563924,47.82116582,22.24623141,14.45696352,2.980289093,Бургас,15859,22.4,2.3,5047,42,1.999360205,73.37517806,26.62482194,5.19193858,16.13723608
Малко Търново,2628,1957,26,441,19,74.46727549,0.9893455099,16.78082192,0.7229832572,486,18.49315068,55,20.85235921,90,92,128,101,411,1,3.521126761,25,88.02816901,2,15.7480315,72,56.69291339,127,87,69,128,284,212,74.64788732,70,80.45977011,66,95.65217391,76,59.375,24,14,5,35.71428571,23,164.2857143,0,0,0,0,65,15.2,13.1547381,46.46141543,26.06957217,14.31427429,4.554697031,Бургас,15859,22.4,1.9,989,1,0.3805175038,63.1473438,36.8526562,12.55707763,14.8782344
Несебър,23760,18375,848,551,1137,77.33585859,3.569023569,2.319023569,4.785353535,2536,10.67340067,234,9.865319865,1099,1318,1372,1024,4813,9,2.805486284,217,67.64339152,11,6.853582555,958,59.68847352,1605,1064,861,1283,3208,2449,76.340399,1036,97.36842105,817,94.88966318,596,46.45362432,230,160,89,55.625,212,132.5,3,0.1262626263,779,32.78619529,68,7.8,23.70570977,50.51681336,14.40306928,11.37440758,0.8334876829,Бургас,15859,22.4,2.3,4881,67,2.81986532,69.9619153,30.0380847,2.352693603,11.83080808
Поморие,25406,17080,4167,879,548,67.22821381,16.40163741,3.459812643,2.156970794,5594,22.01842085,109,4.282452964,1151,1285,1527,1272,5235,12,3.347280335,215,59.972106,7,4.242424242,875,53.03030303,1650,1081,913,1591,3585,2018,56.29009763,907,83.90379278,741,81.16100767,370,23.25581395,282,213,66,30.98591549,211,99.06103286,2,0.07872156184,250,9.824450917,65.4,12.9,17.86496043,45.64741539,22.80266038,13.6849638,1.299987086,Бургас,15859,22.4,2.5,5514,53,2.099241649,68.98236287,31.01763713,3.243328348,24.76580335
Приморско,5618,4575,51,543,77,81.43467426,0.9077963688,9.665361339,1.370594518,671,11.94375222,78,13.81274475,234,254,252,226,966,2,3.159557662,41,64.77093207,1,3.003003003,164,49.24924925,333,192,151,290,633,412,65.08688784,174,90.625,125,82.78145695,113,38.96551724,55,45,13,28.88888889,50,111.1111111,0,0,0,0,67.7,8.3,17.42667928,50.95553453,21.13528855,10.48249763,1.290944123,Бургас,15859,22.4,2.3,1391,1,0.177999288,64.07585885,35.92414115,9.487362051,11.80135279
Руен,26385,1157,21588,2169,48,4.385067273,81.81921546,8.220579875,0.1819215463,23805,90.22171688,51,1.925336365,1302,1487,1597,1496,5882,20,4.87012987,268,66.93306693,14,7.454739084,822,43.76996805,1878,1185,986,1833,4004,2784,69.53046953,984,83.03797468,821,83.26572008,979,53.40971086,347,213,107,50.23474178,306,143.6619718,0,0,0,0,55.2,17.8,4.847594565,31.83988248,43.28967234,20.02285061,3.926329008,Бургас,15859,22.4,2.6,4656,12,0.4421704251,0,100,7.868106879,89.97915482
Созопол,11984,9001,367,974,161,75.10847797,3.062416555,8.127503338,1.343457944,1502,12.53337784,52,4.305740988,500,507,617,544,2168,6,4.076086957,90,61.14130435,6,8.620689655,320,45.97701149,696,430,379,663,1472,952,64.67391304,344,80,355,93.66754617,253,38.15987934,111,87,17,19.54022989,92,105.7471264,0,0,0,0,59.8,8.7,17.54961021,48.68001417,22.87384833,10.89652729,1.091269841,Бургас,15859,22.4,2.3,3064,7,0.5562972853,51.33743384,48.66256616,7.902202937,12.61682243
Средец,13145,9603,105,2316,172,73.05439331,0.7987828072,17.61886649,1.308482313,2593,19.72613161,94,7.135793077,622,677,797,662,2758,5,2.689618074,112,60.24744486,5,5.561735261,468,52.05784205,899,552,489,818,1859,1494,80.36578806,548,99.27536232,524,107.1574642,422,51.58924205,162,110,28,25.45454545,123,111.8181818,1,0.07607455306,47,3.575503994,60.2,23.3,12.12640862,45.10860689,22.93810224,19.82688225,4.957507082,Бургас,15859,22.4,2.3,3233,14,1.039685559,59.07142857,40.92857143,17.23849372,19.47508558
Сунгурларе,10583,4858,3903,919,153,45.90380799,36.87990173,8.68373807,1.445714826,4975,47.00935463,34,3.212699613,534,597,582,599,2312,6,3.880983182,111,71.79818887,7,9.138381201,351,45.82245431,766,486,358,702,1546,1081,69.92238034,440,90.53497942,331,92.45810056,310,44.15954416,106,112,20,17.85714286,103,91.96428571,0,0,0,0,55,21.6,8.067637771,36.04970969,34.74584904,21.1368035,5.203218055,Бургас,15859,22.4,2.5,2472,4,0.4094617153,25.82893914,74.17106086,7.228574128,46.29122177
